Year;Month;Power Source;Total Investment (rmb x 100 million yuan);Cumulative YOY Growth
2008;12;Hydro;705.0;
2014;7;All;1473.0;
2014;11;Coal;783.0;-1.0
2018;8;All;1302.0;-10.9
2015;6;Coal;405.0;14.1
2010;10;Nuclear;475.0;
2012;2;Hydro;163.0;
2011;8;Hydro;542.0;
2014;6;Wind;276.0;
2015;6;Hydro;276.0;-17.2
2013;9;Nuclear;409.0;
2013;11;All;3076.0;
2008;12;Wind;321.0;
2013;8;Hydro;828.0;
2010;2;All;347.0;
2009;10;Wind;381.0;
2011;4;Hydro;296.0;
2016;10;Wind;547.420017;-29.3619299799424
2016;11;Wind;685.111804;-26.9819002845241
2017;6;All;1046.175738;-13.540670302811797
2017;7;Nuclear;214.9746;-16.1738637977303
2017;8;All;1461.3786;-14.2467776215971
2017;11;Coal;674.1024;-27.3664277834094
2018;2;Hydro;53.0;-7.8
2018;6;Coal;295.0;-5.5
2014;9;All;2113.0;
2014;2;Hydro;99.0;
2015;5;Wind;270.0;48.6
2013;2;Wind;50.0;
2014;5;Nuclear;186.0;
2018;3;Coal;113.0;-5.7
2018;5;Wind;132.0;-6.5
2015;8;Hydro;790.0;
2015;7;Nuclear;238.0;-13.7
2017;7;All;1254.5589;-13.6926413037367
2017;3;All;384.008691;-17.2995448198896
2015;10;Hydro;501.0;-24.7
2010;8;All;1966.0;
2011;8;All;2098.0;
2015;8;Coal;3082.0;
2017;3;Wind;67.353748;-34.006372092012
2017;9;Wind;397.0516;-14.0915723763177
2018;7;Wind;242.0;-5.1
2012;11;Hydro;1028.0;
2013;4;Nuclear;158.0;
2012;4;Nuclear;205.0;
2013;8;Coal;524.0;
2014;4;Coal;203.0;
2015;4;Nuclear;126.0;-11.6
2016;11;All;2688.877365;-12.6732857205572
2018;5;Coal;219.0;-16.2
2018;11;Hydro;569.0;15.7
2015;6;Nuclear;203.0;-14.9
2015;4;Wind;211.0;99.6
2009;8;Hydro;681.0;
2017;10;Hydro;392.1652;-22.5059553391554
2012;11;Coal;794.0;
2013;9;Coal;632.0;
2012;7;Wind;216.0;
2015;5;All;983.0;8.1
2010;7;Wind;380.0;
2012;9;All;2337.0;
2013;5;Nuclear;190.0;
2011;2;Wind;63.0;
2014;3;Coal;140.0;
2018;6;Wind;190.0;-7.8
2012;10;Nuclear;597.0;
2013;11;Coal;791.0;
2015;5;Coal;298.0;10.1
2016;6;Wind;244.0;-38.4320652376
2017;11;Wind;575.8029;-15.9549001143761
2010;7;Hydro;349.0;
2013;12;Nuclear;609.0;-22.38
2012;5;Nuclear;254.0;
2016;11;Hydro;482.060643;-20.1527256718387
2018;9;Coal;526.0;6.2
2015;12;Nuclear;560.0;5.2
2016;5;Hydro;178.0;-20.1480647415
2015;11;Coal;980.0;25.2
2012;12;Wind;615.0;-31.8
2016;7;Nuclear;256.0;7.89829486178
2012;7;All;1710.0;
2014;12;Wind;993.0;52.8
2013;10;Wind;392.0;
2014;7;Coal;421.0;
2009;11;Coal;1187.0;
2011;6;Coal;482.0;
2013;3;Coal;162.0;
2018;4;Nuclear;121.0;20.3
2016;3;Wind;102.0;-27.9
2013;7;Nuclear;300.0;
2017;5;All;766.997427;-15.0942020092452
2013;3;Hydro;248.0;
